tt0404126	tvMovie	I'll Be Seeing You	96	Crime,Drama,Mystery	2004	5.2	291
tt5590340	short	Lucky Break	20	Drama,Short	2001	4.9	10
tt0370263	movie	AVP: Alien vs. Predator	101	Action,Adventure,Horror	2004	5.6	190457
tt3469832	tvEpisode	Sacrifice	42	Drama,Fantasy	2000	8.0	433
tt9205142	tvEpisode	In Cold Blood	42	Reality-TV	1996	7.8	14
tt4744248	tvEpisode	Firefly	44	Adventure,Drama,History	2002	9.3	240
tt2323585	short	Like Mike	7	Comedy,Music,Mystery	2002	8.0	8
tt0191511	movie	Strange Bedfellows	84	Adult	2004	6.6	12
tt0443734	movie	Natale a casa Deejay - A Christmas Carol	75	Comedy,Fantasy	1999	5.2	127
tt2589888	tvEpisode	House Arrest	23	Action,Adventure,Animation	1996	6.9	150
tt2262091	short	Shopping	7	Drama,Romance,Short	1994	7.3	11
tt4024688	tvEpisode	Strike	27	Comedy	1925	7.5	128
tt0093093	movie	The Glass Menagerie	134	Drama	1973	7.1	2018
tt4720292	tvEpisode	Boiling Point	43	Action,Reality-TV,Sport	1993	5.1	8
tt0394222	tvEpisode	Guess Who's Coming to Dinner	42	Action,Adventure,Crime	1967	5.8	80
tt0130586	short	Crossroads	36	Short	2002	7.1	269
tt0455707	short	Prom Night	15	Short	1980	7.3	30
tt12239618	tvEpisode	Heathers	154	Comedy,Fantasy,Horror	1989	8.6	38
tt7266472	tvEpisode	Revenge	48	Crime,Mystery	2002	9.2	44
tt4771882	short	Bus Stop	12	Drama,Short	1956	7.6	45
tt8805084	tvEpisode	Crash Course	42	Comedy,Crime,Drama	2001	8.2	1041
tt0418753	movie	Inside Deep Throat	89	Biography,Documentary,History	2005	6.7	6693
tt10264976	tvEpisode	Lightning in a Bottle	6	Animation,Comedy,Family	2004	6.6	323
tt4492040	tvEpisode	October	45	Drama,Thriller	1927	7.3	204
tt5589336	tvEpisode	Alice in Wonderland	42	Reality-TV	1966	6.6	5
tt0394216	tvEpisode	Full Throttle	42	Action,Adventure,Crime	1995	5.4	61
tt0431721	movie	Denied	96	Drama,Romance	2004	4.8	680
tt1683270	tvEpisode	Broken Arrow	43	Action,Crime,Drama	1996	8.1	605
tt0707911	tvEpisode	Entrapment	47	Comedy,Drama	1999	8.4	43
tt7339924	tvEpisode	The Long Goodbye	21	Comedy,Drama,Romance	1973	7.3	1161
tt0396872	video	Slow Burn	89	Adult,Romance	1999	2.4	11
tt0876787	tvEpisode	Strange Love	21	Comedy,Reality-TV	1998	5.5	9
tt0370244	movie	Nain souruzu	120	Adventure,Comedy,Crime	2003	7.2	1727
tt0357277	movie	Elektra	97	Action,Adventure,Crime	2005	4.7	89740
tt0093066	video	G.I. Joe: The Movie	93	Action,Adventure,Animation	1987	7.1	5284
tt0467726	tvMiniSeries	Circus	30	Documentary	2000	7.7	7
tt0467727	tvSeries	Fata Morgana	50	Action,Game-Show	1971	5.4	23
tt3455210	short	Fake	13	Drama,Mystery,Romance	2000	8.2	16
tt3636588	tvEpisode	Blow Out	42	Drama,Romance	1981	7.6	30
tt2250093	tvEpisode	Shattered	42	Comedy,Drama	1991	7.9	75
tt1058512	tvMovie	The Canterville Ghost	24	Animation	1997	6.8	13
tt0960604	tvEpisode	Flesh and Bone	22	Adventure,Animation,Fantasy	1993	6.3	13
tt1058514	tvEpisode	Nirvana: Nevermind	74	Documentary,Music	2005	7.9	621
tt3636582	tvEpisode	Shattered Glass	42	Drama,Romance	2003	7.5	31
tt0431733	movie	Juet sai ho bun	103	Comedy,Drama,Romance	2004	6.1	259
tt0093072	movie	The Garbage Pail Kids Movie	97	Adventure,Comedy,Family	1987	2.6	7850
tt0876776	tvEpisode	Seven	42	Crime,Drama,Thriller	1995	7.8	56
tt0093073	movie	Gardens of Stone	111	Drama,Romance,War	1987	6.4	5395
tt10695372	tvEpisode	Little Monsters	20	Drama,Horror,Mystery	1989	6.2	154
tt0394201	tvEpisode	The Edge	42	Action,Adventure,Crime	1997	5.7	69
tt0093075	movie	The Gate	85	Fantasy,Horror	1987	6.1	16337
tt1730118	movie	Downfall	59	Drama	2004	6.7	53
tt11347640	tvEpisode	Parasite	6	Comedy,Talk-Show	1982	6.8	11
tt0418778	movie	Kansen	98	Drama,Horror,Sci-Fi	2005	6.1	5422
tt8110474	movie	Emma	77	Drama	1996	5.1	19
tt12974828	tvEpisode	Femme Fatale	43	Crime	2002	7.2	8
tt2262076	short	Irreversible	1	Short	2002	5.0	8
tt3012818	movie	Zázrak	78	Drama	2004	5.8	129
tt0443708	movie	Page 3	139	Drama	2005	7.3	6795
tt0888754	tvEpisode	The Great Race	24	Animation,Comedy,Family	1965	5.9	17
tt0382221	video	Pearl Jam: Live at the Garden	190	Documentary,Music	2003	8.9	743
tt0154524	short	Gas	3	Animation,Short	2005	5.9	161
tt0479725	movie	Blue Moon	108	Drama,Romance	2000	7.7	74
tt6925204	movie	Genius	142	Drama	2003	5.6	34
tt1756714	short	Runaway	34	Music,Short	1984	8.0	1982
tt7937082	tvEpisode	Hair	58	Comedy,Talk-Show	1979	6.4	41
tt6193166	tvEpisode	Chaos	49	Crime,Drama	2001	8.5	602
tt5614844	tvSeries	Cloak & Dagger	44	Action,Adventure,Drama	1984	6.7	18673
tt2095375	tvEpisode	Suspicion	45	Drama,Mystery,Thriller	1941	8.1	860
tt0394270	tvEpisode	Message in a Bottle	47	Action,Adventure,Crime	1999	6.0	204
tt0117573	movie	Screwed	85	Documentary	2000	5.9	189
tt0394272	tvEpisode	Missing	42	Action,Adventure,Crime	1982	5.5	65
tt0117571	movie	Scream	111	Horror,Mystery	1996	7.3	300550
tt1781769	movie	Anna Karenina	129	Drama,Romance	2000	6.6	95891
tt1705125	movie	Mysterious Island	91	Adventure,Fantasy,Horror	1961	3.5	1051
tt0888739	tvEpisode	The Beach	25	Action,Adventure,Animation	2000	8.6	3335
tt7937076	tvEpisode	New York	59	Comedy,Talk-Show	1999	6.8	66
tt8817056	tvEpisode	The Dead Sea Scrolls	60	Documentary,History	2004	7.2	14
tt0431718	short	Deadline	25	Drama,Short	2004	6.0	30
tt0394265	tvEpisode	Masquerade	43	Action,Adventure,Crime	1988	5.4	119
tt0850141	tvEpisode	The Graduate	22	Documentary,Music,Reality-TV	1967	9.1	9
